"species","no_countries","no_countries_threatened","percentage_threatened"
"Colchicum rausii",1,1,1
"Convolvulus boissieri",3,2,0.666666666666667
"Convolvulus caput-medusae",1,1,1
"Convolvulus fernandesii",1,1,1
"Convolvulus fruticulosus",1,1,1
"Convolvulus lopezsocasii",1,1,1
"Convolvulus mairei",1,1,1
"Convolvulus perraudieri",1,1,1
"Convolvulus scoparius",1,1,1
"Convolvulus subauriculatus",1,1,1
"Convolvulus volubilis",1,1,1
"Corispermum gallicum",1,1,1
"Coristospermum lucidum",7,2,0.285714285714286
"Corydalis pumila",14,2,0.142857142857143
"Corydalis thasia",1,1,1
"Cota macrantha",4,1,0.25
"Cotoneaster delphinensis",1,1,1
"Crambe arborea",1,1,1
"Crambe feuilleei",1,1,1
"Crambe laevigata",1,1,1
"Crambe microcarpa",1,1,1
"Crambe pritzelii",1,1,1
"Crambe santosii",1,1,1
"Crambe scaberrima",1,1,1
"Crambe scoparia",1,1,1
"Crambe sventenii",1,1,1
"Crambe tamadabensis",1,1,1
"Crambe wildpretii",1,1,1
"Crepis arcuata",1,1,1
"Crepis athoa",1,1,1
"Crepis baldaccii",2,2,1
"Crepis bertiscea",2,2,1
"Crepis blattarioides",8,2,0.25
"Crepis canariensis",1,1,1
"Crepis froelichiana",3,2,0.666666666666667
"Crepis granatensis",1,1,1
"Crepis heldreichiana",1,1,1
"Crepis macedonica",2,1,0.5
"Crepis merxmuelleri",1,1,1
"Crepis novoana",1,1,1
"Crepis pantocsekii",2,1,0.5
"Crepis pontana",6,1,0.166666666666667
"Crepis pyrenaica",7,1,0.142857142857143
"Crepis rhaetica",4,1,0.25
"Crepis schachtii",1,1,1
"Crepis sibthorpiana",1,1,1
"Crepis turcica",2,1,0.5
"Crepis viscidula",5,1,0.2
"Crocus banaticus",5,1,0.2
"Crocus biflorus",2,1,0.5
"Crocus cyprius",1,1,1
"Crocus dalmaticus",2,1,0.5
"Crocus hadriaticus",2,1,0.5
"Crocus hartmannianus",1,1,1
"Crocus heuffelianus",7,2,0.285714285714286
"Crocus ilvensis",1,1,1
"Crocus kosaninii",1,1,1
"Crocus ligusticus",2,1,0.5
"Crocus longiflorus",1,1,1
"Crocus weldenii",3,1,0.333333333333333
"Cryptotaenia thomasii",1,1,1
"Cuscuta atrans",1,1,1
"Cyathoselinum tomentosum",1,1,1
"Cyclamen graecum",2,1,0.5
"Cyclamen purpurascens",13,2,0.153846153846154
"Cyclamen repandum",4,1,0.25
"Cynara algarbiensis",2,1,0.5
"Cynara makrisii",1,1,1
"Cynoglossum albanicum",2,1,0.5
"Cynoglossum pustulatum",4,2,0.5
"Cynoglossum reverchonii",1,1,1
"Cynoglossum scardicum",3,1,0.333333333333333
"Cynoglossum sphacioticum",1,1,1
"Cynoglossum umbellatum",4,2,0.5
"Cyperus cyprius",1,1,1
"Cytisus aeolicus",1,1,1
"Cytisus agnipilus",5,1,0.2
"Cytisus decumbens",7,2,0.285714285714286
"Cytisus emeriflorus",2,1,0.5
"Cytisus osyrioides",1,1,1
"Dactylorhiza cordigera",6,2,0.333333333333333
"Dactylorhiza kalopissii",2,1,0.5
"Dactylorhiza × kerneri nothosubsp. kerneri",12,4,0.333333333333333
"Dactylorhiza lapponica",9,3,0.333333333333333
"Dactylorhiza sambucina",21,11,0.523809523809524
"Dactylorhiza sphagnicola",7,1,0.142857142857143
"Danthoniastrum compactum",2,1,0.5
"Danthoniastrum neumayerianum",1,1,1
"Daphne alpina",5,1,0.2
"Daphne arbuscula",1,1,1
"Daphne blagayana",5,2,0.4
"Daphne malyana",1,1,1
"Daphne rodriguezii",1,1,1
"Daucus elegans",1,1,1
"Degenia velebitica",1,1,1
"Delphinium arenarium",1,1,1
"Delphinium brevicorne",2,2,1
"Delphinium halteratum",5,2,0.4
"Delphinium montanum",2,2,1
"Delphinium nacladense",3,1,0.333333333333333
"Delphinium tuntasianum",1,1,1
"Dendriopoterium menendezii",1,1,1
"Descurainia artemisioides",1,1,1
"Descurainia lemsii",1,1,1
"Descurainia tanacetifolia",3,1,0.333333333333333
"Dianthus bessarabicus",2,2,1
"Dianthus borbonicus",1,1,1
"Dianthus broteri",2,1,0.5
"Dianthus busambrae",1,1,1
"Dianthus charidemi",1,1,1
"Dianthus cintranus",1,1,1
"Dianthus collinus",4,1,0.25
"Dianthus dobrogensis",2,1,0.5
"Dianthus ferrugineus",3,1,0.333333333333333
"Dianthus freynii",1,1,1
"Dianthus furcatus",2,1,0.5
"Dianthus gracilis",4,1,0.25
"Dianthus gratianopolitanus",8,7,0.875
"Dianthus haematocalyx",3,1,0.333333333333333
"Dianthus hypanicus",1,1,1
"Dianthus insularis",1,1,1
"Dianthus japigicus",1,1,1
"Dianthus juniperinus",1,1,1
"Dianthus laricifolius",2,1,0.5
"Dianthus nardiformis",2,2,1
"Dianthus nitidus",3,2,0.666666666666667
"Dianthus petraeus",4,1,0.25
"Dianthus pontederae",6,2,0.333333333333333
"Dianthus praecox",2,1,0.5
"Dianthus seguieri",6,3,0.5
"Dianthus serotinus",5,3,0.6
"Dianthus siculus",1,1,1
"Dianthus simulans",2,1,0.5
"Dianthus stribrnyi",3,1,0.333333333333333
"Dianthus sylvestris",6,1,0.166666666666667
"Dianthus viridescens",2,1,0.5
"Dianthus xylorrhizus",1,1,1
"Dichoropetalum kyriakae",1,1,1
"Dichoropetalum schottii",6,1,0.166666666666667
"Digitalis chalcantha",1,1,1
"Digitalis isabelliana",1,1,1
"Digitalis laevigata",4,1,0.25
"Digitalis mariana",2,1,0.5
"Dioscorea balcanica",2,2,1
"Dioscorea chouardii",1,1,1
"Diplotaxis siettiana",1,1,1
"Doronicum carpetanum",2,1,0.5
"Doronicum grandiflorum",7,1,0.142857142857143
"Doronicum hungaricum",7,2,0.285714285714286
"Draba aizoides",14,4,0.285714285714286
"Draba aspera",5,1,0.2
"Draba cacuminum",2,2,1
"Draba dolomitica",2,1,0.5
"Draba dorneri",1,1,1
"Draba dubia",9,1,0.111111111111111
"Draba haynaldii",1,1,1
"Draba korabensis",3,2,0.666666666666667
"Draba laconica",1,1,1
"Draba ladina",2,1,0.5
"Draba lasiocarpa",7,1,0.142857142857143
"Draba pacheri",2,2,1
"Draba parnassica",2,1,0.5
"Draba simonkaiana",1,1,1
"Draba strasseri",1,1,1
"Draba tomentosa",9,1,0.111111111111111
"Dracaena tamaranae",1,1,1
"Drymocallis halacsyana",1,1,1
"Dryopteris ardechensis",3,1,0.333333333333333
"Dryopteris cambrensis",14,1,0.0714285714285714
"Dryopteris guanchica",2,2,1
"Dryopteris tyrrhena",3,3,1
"Dryopteris villarii",12,1,0.0833333333333333
"Drypis spinosa",4,1,0.25
"Echinospartum horridum",2,1,0.5
"Echinospartum ibericum",2,1,0.5
"Echium acanthocarpum",1,1,1
"Echium auberianum",1,1,1
"Echium bethencourtii",1,1,1
"Echium callithyrsum",1,1,1
"Echium gentianoides",1,1,1
"Echium handiense",1,1,1
"Echium hierrense",1,1,1
"Echium montenielluense",1,1,1
"Echium sventenii",1,1,1
"Edraianthus dalmaticus",1,1,1
"Edraianthus niveus",1,1,1
"Edraianthus serbicus",2,1,0.5
"Edraianthus sutjeskae",1,1,1
"Edraianthus wettsteinii",2,1,0.5
"Elatine gussonei",1,1,1
"Elatine hexandra",19,10,0.526315789473684
"Eleocharis carniolica",10,7,0.7
"Eokochia saxicola",1,1,1
"Epilobium duriaei",3,1,0.333333333333333
"Epilobium fleischeri",5,2,0.4
"Epilobium nutans",10,2,0.2
"Epimedium alpinum",9,2,0.222222222222222
"Epipactis albensis",7,5,0.714285714285714
"Epipactis bugacensis",7,2,0.285714285714286
"Epipactis cupaniana",1,1,1
"Epipactis dunensis",2,1,0.5
"Epipactis exilis",5,2,0.4
"Epipactis fageticola",4,2,0.5
"Epipactis greuteri",8,2,0.25
"Epipactis hyblaea",1,1,1
"Epipactis ioessa",1,1,1
"Epipactis meridionalis",1,1,1
"Epipactis nordeniorum",5,2,0.4
"Epipactis phyllanthes",9,5,0.555555555555556
"Epipactis placentina",5,4,0.8
"Epipactis purpurata",17,6,0.352941176470588
"Epipactis tallosii",6,2,0.333333333333333
"Equisetum × robertsii",2,1,0.5
"Eremogone cephalotes",1,1,1
"Erica mackayana",3,2,0.666666666666667
"Erigeron angulosus",10,2,0.2
"Erigeron frigidus",1,1,1
"Erigeron glabratus",11,2,0.181818181818182
"Erodium astragaloides",1,1,1
"Erodium boissieri",1,1,1
"Erodium daucoides",1,1,1
"Erodium guicciardii",4,1,0.25
"Erodium macrocalyx",1,1,1
"Erodium manescavi",3,1,0.333333333333333
"Erodium paularense",1,1,1
"Erodium recoderi",1,1,1
"Erodium rodiei",1,1,1
"Erodium rupestre",2,1,0.5
"Erodium rupicola",1,1,1
"Erucastrum palustre",1,1,1
"Eryngium alpinum",5,4,0.8
"Eryngium galioides",2,1,0.5
"Eryngium grossii",1,1,1
"Eryngium huteri",1,1,1
"Eryngium viviparum",3,3,1
"Erysimum cazorlense",1,1,1
"Erysimum humile",2,1,0.5
"Erysimum hungaricum",5,1,0.2
"Erysimum krendlii",1,1,1
"Erysimum krynkense",1,1,1
"Erysimum kykkoticum",1,1,1
"Erysimum lagascae",2,1,0.5
"Erysimum ligusticum",1,1,1
"Erysimum maremmanum",1,1,1
"Erysimum myriophyllum",1,1,1
"Erysimum nevadense",2,2,1
"Erysimum pallidiflorum",5,1,0.2
"Erysimum rhaeticum",5,1,0.2
"Erysimum scoparium",1,1,1
"Erysimum slavjankae",1,1,1
"Erysimum sylvestre",3,1,0.333333333333333
"Erysimum talijevii",1,1,1
"Erysimum witmannii",5,1,0.2
"Euphorbia angulata",15,2,0.133333333333333
"Euphorbia bourgeana",1,1,1
"Euphorbia bravoana",1,1,1
"Euphorbia carniolica",9,1,0.111111111111111
"Euphorbia carpatica",2,1,0.5
"Euphorbia flavicoma",4,2,0.5
"Euphorbia fontqueriana",1,1,1
"Euphorbia fragifera",6,1,0.166666666666667
"Euphorbia gayi",3,1,0.333333333333333
"Euphorbia glabriflora",3,1,0.333333333333333
"Euphorbia handiensis",1,1,1
"Euphorbia heldreichii",2,1,0.5
"Euphorbia hyberna",5,1,0.2
"Euphorbia lemesiana",1,1,1
"Euphorbia margalidiana",1,1,1
"Euphorbia montenegrina",1,1,1
"Euphorbia papillaris",1,1,1
"Euphorbia pedroi",1,1,1
"Euphorbia subhastata",1,1,1
"Euphorbia uliginosa",2,1,0.5
"Euphorbia valdevillosocarpa",2,1,0.5
"Euphorbia variabilis",5,1,0.2
"Euphorbia verrucosa",12,3,0.25
"Euphrasia cambrica",1,1,1
"Euphrasia cisalpina",2,1,0.5
"Euphrasia corcontica",2,2,1
"Euphrasia dinarica",2,1,0.5
"Euphrasia dunensis",1,1,1
"Euphrasia exaristata",2,1,0.5
"Euphrasia illyrica",3,1,0.333333333333333
"Euphrasia inopinata",1,1,1
"Euphrasia liburnica",7,1,0.142857142857143
"Euphrasia marchesettii",1,1,1
"Euphrasia minima",15,1,0.0666666666666667
"Euphrasia picta",11,1,0.0909090909090909
"Euphrasia pseudokerneri",2,1,0.5
"Euphrasia rivularis",1,1,1
"Euphrasia sinuata",1,1,1
"Euphrasia slovaca",4,1,0.25
"Euphrasia stipitata",1,1,1
"Euphrasia vigursii",1,1,1
"Facchinia cherlerioides",4,1,0.25
"Femeniasia balearica",1,1,1
"Ferula arrigonii",2,1,0.5
"Ferulago sartorii",1,1,1
"Ferulago ternatifolia",1,1,1
"Ferula heuffelii",3,1,0.333333333333333
"Ferula lancerotensis",1,1,1
"Ferula latipinna",1,1,1
"Ferula loscosii",1,1,1
"Ferula sadleriana",3,2,0.666666666666667
"Festuca albensis",2,2,1
"Festuca alpestris",3,1,0.333333333333333
"Festuca bosniaca",4,1,0.25
"Festuca brigantina",2,1,0.5
"Festuca clementei",1,1,1
"Festuca csikhegyensis",5,1,0.2
"Festuca dalmatica",5,1,0.2
"Festuca duvalii",5,1,0.2
"Festuca eggleri",1,1,1
"Festuca frigida",1,1,1
"Festuca halleri",5,1,0.2
"Festuca henriquesii",1,1,1
"Festuca heteropachys",4,2,0.5
"Festuca javorkae",3,1,0.333333333333333
"Festuca lemanii",5,1,0.2
"Festuca longifolia",4,1,0.25
"Festuca pallens",12,3,0.25
"Festuca patzkei",2,1,0.5
"Festuca porcii",2,1,0.5
"Festuca prudhommei",1,1,1
"Festuca psammophila",6,2,0.333333333333333
"Festuca quadriflora",7,1,0.142857142857143
"Festuca saxatilis",3,1,0.333333333333333
"Festuca stenantha",5,1,0.2
"Festuca thracica",2,1,0.5
"Festuca ticinensis",2,1,0.5
"Festuca trichophylla",13,1,0.0769230769230769
"Festuca vaginata",8,4,0.5
"Festuca versicolor",5,1,0.2
"Festuca violacea",5,1,0.2
"Festucopsis serpentini",1,1,1
"Filago carpetana",3,1,0.333333333333333
"Filago petro-ianii",1,1,1
"Forsythia europaea",2,1,0.5
"Fourraea alpina",9,2,0.222222222222222
"Fritillaria conica",1,1,1
"Fritillaria drenovskii",2,1,0.5
"Fritillaria ehrhartii",1,1,1
"Fritillaria epirotica",1,1,1
"Fritillaria euboeica",1,1,1
"Fritillaria graeca",3,1,0.333333333333333
"Fritillaria legionensis",1,1,1
"Fritillaria macedonica",2,1,0.5
"Fritillaria messanensis",4,3,0.75
"Fritillaria moggridgei",2,1,0.5
"Fritillaria montana",8,2,0.25
"Fritillaria rhodocanakis",1,1,1
"Fritillaria × spetsiotica",1,1,1
"Fumana bonapartei",3,1,0.333333333333333
"Fumana lacidulemiensis",1,1,1
"Fumaria purpurea",3,1,0.333333333333333
"Gagea apulica",2,2,1
"Gagea chrysantha",1,1,1
"Gagea × luberonensis",4,1,0.25
"Gagea × polidorii",3,1,0.333333333333333
"Gagea × pomeranica",2,1,0.5
"Galatella albanica",2,1,0.5
"Galatella aragonensis",2,1,0.5
"Galatella cana",5,2,0.4
"Galega cirujanoi",2,1,0.5
"Galeopsis segetum",15,4,0.266666666666667
"Galium aegeum",2,1,0.5
"Galium arenarium",2,1,0.5
"Galium aristatum",5,1,0.2
"Galium austriacum",5,1,0.2
"Galium belizianum",2,1,0.5
"Galium boissierianum",1,1,1
"Galium cracoviense",1,1,1
"Galium firmum",2,1,0.5
"Galium glaucum",16,4,0.25
"Galium intricatum",3,1,0.333333333333333
"Galium moldavicum",2,1,0.5
"Galium procurrens",3,1,0.333333333333333
"Galium pulvinatum",1,1,1
"Galium rhodopeum",3,2,0.666666666666667
"Galium rosellum",1,1,1
"Galium sudeticum",3,2,0.666666666666667
"Galium suecicum",3,1,0.333333333333333
"Galium valdepilosum",6,3,0.5
"Galium velenovskyi",1,1,1
"Galium viridiflorum",1,1,1
"Gaudinia hispanica",1,1,1
"Genista anglica",10,4,0.4
"Genista balearica",1,1,1
"Genista berberidea",2,1,0.5
"Genista bocchierii",1,1,1
"Genista cilentina",1,1,1
"Genista demarcoi",1,1,1
"Genista dorycnifolia",1,1,1
"Genista haensleri",1,1,1
"Genista hassertiana",3,1,0.333333333333333
"Genista holopetala",2,1,0.5
"Genista pilosa",19,4,0.210526315789474
"Genista pulchella",2,1,0.5
"Genista radiata",7,2,0.285714285714286
"Genista sardoa",1,1,1
"Genista splendens",1,1,1
"Genista toluensis",1,1,1
"Genista tribracteolata",1,1,1
"Gentiana acaulis",12,4,0.333333333333333
"Gentiana boryi",1,1,1
"Gentiana dinarica",3,1,0.333333333333333
"Gentiana frigida",6,1,0.166666666666667
"Gentiana pannonica",6,2,0.333333333333333
"Gentiana purpurea",7,1,0.142857142857143
"Gentiana utriculosa",10,3,0.3
"Gentianella anisodonta",4,1,0.25
"Gentianella austriaca",10,4,0.4
"Gentianella bohemica",4,1,0.25
"Gentianella bulgarica",5,1,0.2
"Gentianella crispata",5,3,0.6
"Gentianella germanica",12,5,0.416666666666667
"Gentianella insubrica",2,1,0.5
"Gentianella lutescens",10,3,0.3
"Gentianella pilosa",3,1,0.333333333333333
"Gentianella ramosa",3,1,0.333333333333333
"Geranium aristatum",4,1,0.25
"Geranium cataractarum",1,1,1
"Geranium cazorlense",1,1,1
"Geranium dalmaticum",2,1,0.5
"Geranium dolomiticum",1,1,1
"Geranium endressii",4,1,0.25
"Geranium reflexum",7,1,0.142857142857143
"Geranium thessalum",2,1,0.5
"Gesnouinia arborea",1,1,1
"Geum hispidum",5,1,0.2
"Geum montanum",14,1,0.0714285714285714
"Geum reptans",13,1,0.0769230769230769
"Geum waldsteiniae",7,1,0.142857142857143
"Glandora gastonii",2,1,0.5
"Glandora nitida",1,1,1
"Glandora oleifolia",2,1,0.5
"Globularia ascanii",1,1,1
"Globularia sarcophylla",1,1,1
"Goniolimon besserianum",3,1,0.333333333333333
"Goniolimon dalmaticum",2,1,0.5
"Goniolimon graminifolium",1,1,1
"Gonospermum ferulaceum",1,1,1
"Gonospermum gomerae",1,1,1
"Gonospermum oshanahanii",1,1,1
"Gonospermum ptarmiciflorum",1,1,1
"Gonospermum revolutum",1,1,1
"Graecobolanthus creutzburgii",1,1,1
"Grafia golaka",3,1,0.333333333333333
"Gymnadenia archiducis-joannis",1,1,1
"Gymnadenia austriaca",7,1,0.142857142857143
"Gymnadenia carpatica",2,1,0.5
"Gymnadenia frivaldii",5,1,0.2
"Gymnadenia miniata",6,1,0.166666666666667
"Gymnadenia nigra",12,2,0.166666666666667
"Gymnadenia rhellicani",9,1,0.111111111111111
"Gymnadenia stiriaca",1,1,1
"Gymnadenia widderi",3,1,0.333333333333333
"Gymnospermium odessanum",2,1,0.5
"Gymnospermium scipetarum",3,1,0.333333333333333
"Gypsophila papillosa",1,1,1
"Gyrocaryum oppositifolium",1,1,1
"Haberlea rhodopensis",2,1,0.5
"Halacsya sendtneri",3,1,0.333333333333333
"Haplophyllum balcanicum",2,1,0.5
"Haplophyllum boissierianum",3,1,0.333333333333333
"Haplophyllum coronatum",3,1,0.333333333333333
"Haplophyllum linifolium",3,1,0.333333333333333
"Haplophyllum patavinum",5,3,0.6
"Hedlundia anglica",2,2,1
"Hedlundia borbasii",3,1,0.333333333333333
"Hedlundia buekkensis",2,1,0.5
"Hedlundia gauckleri",1,1,1
"Hedlundia hazslinszkyana",2,1,0.5
"Hedlundia hohenesteri",1,1,1
"Hedlundia lancifolia",1,1,1
"Hedlundia legrei",1,1,1
"Hedlundia leyana",1,1,1
"Hedlundia minima",1,1,1
"Hedlundia mougeotii",11,1,0.0909090909090909
"Hedlundia neglecta",1,1,1
"Hedlundia pauca",1,1,1
"Hedlundia pekarovae",1,1,1
"Hedlundia pseudothuringiaca",1,1,1
"Hedlundia pulchra",1,1,1
"Hedlundia scannelliana",1,1,1
"Hedlundia scepusiensis",1,1,1
"Hedlundia schwarziana",1,1,1
"Hedlundia semipinnata",1,1,1
"Hedlundia sognensis",1,1,1
"Hedlundia teodori",1,1,1
"Hedysarum cyprium",1,1,1
"Helianthemum aganae",1,1,1
"Helianthemum aguloi",1,1,1
"Helianthemum alypoides",1,1,1
"Helianthemum bramwelliorum",1,1,1
"Helianthemum broussonetii",1,1,1
"Helianthemum bystropogophyllum",1,1,1
"Helianthemum gonzalezferreri",1,1,1
"Helianthemum guerrae",1,1,1
"Helianthemum inaguae",1,1,1
"Helianthemum juliae",1,1,1
"Helianthemum lunulatum",2,1,0.5
"Helianthemum marminorense",1,1,1
"Helianthemum morisianum",1,1,1
"Helianthemum oelandicum",2,1,0.5
"Helianthemum pannosum",1,1,1
"Helianthemum polygonoides",1,1,1
"Helianthemum scopulicola",1,1,1
"Helianthemum sicanorum",1,1,1
"Helianthemum teneriffae",1,1,1
"Helianthemum tholiforme",1,1,1
"Helianthemum thymiphyllum",1,1,1
"Helianthemum viscidulum",1,1,1
"Helichrysum alucense",1,1,1
"Helichrysum doerfleri",1,1,1
"Helichrysum gossypinum",1,1,1
"Helichrysum monogynum",1,1,1
"Helichrysum sibthorpii",1,1,1
"Helichrysum taenari",1,1,1
"Helichrysum teydeum",1,1,1
"Helictochloa crassifolia",1,1,1
"Helictochloa hackelii",1,1,1
"Helictochloa praeusta",8,1,0.125
"Helictotrichon cantabricum",2,1,0.5
"Heliosperma pusillum",13,4,0.307692307692308
"Helleborus multifidus",2,1,0.5
"Helleborus purpurascens",7,2,0.285714285714286
"Helosciadium bermejoi",1,1,1
"Heptaptera angustifolia",1,1,1
"Heracleum austriacum",3,1,0.333333333333333
"Heracleum carpaticum",2,1,0.5
"Heracleum orphanidis",2,1,0.5
"Herniaria algarvica",1,1,1
"Herniaria alpina",5,1,0.2
"Herniaria lusitanica",2,1,0.5
"Herniaria parnassica",2,1,0.5
"Hesperis dinarica",5,1,0.2
"Hesperis inodora",2,1,0.5
"Hesperis slovaca",1,1,1
"Hesperis sylvestris",10,1,0.1
"Hesperis theophrasti",4,1,0.25
"Hesperocodon hederaceus",8,3,0.375
"Hieracium abiegni",1,1,1
"Hieracium abrupticuspis",1,1,1
"Hieracium acamptum",1,1,1
"Hieracium accrescens",1,1,1
"Hieracium acidotum",2,1,0.5
"Hieracium acriserratum",1,1,1
"Hieracium acrogymnon",1,1,1
"Hieracium acudentulum",2,1,0.5
"Hieracium acuens",1,1,1
"Hieracium acutellum",1,1,1
"Hieracium adampliatum",1,1,1
"Hieracium aemulans",1,1,1
"Hieracium aequiserratum",1,1,1
"Hieracium aethalodes",1,1,1
"Hieracium ageneium",1,1,1
"Hieracium albiduliforme",1,1,1
"Hieracium albovittatum",1,1,1
"Hieracium ambigosum",1,1,1
"Hieracium amblyglochin",1,1,1
"Hieracium amblyodontum",1,1,1
"Hieracium amoenifrons",1,1,1
"Hieracium amphicentrum",1,1,1
"Hieracium ancisum",1,1,1
"Hieracium anguinum",1,1,1
"Hieracium angulosum",1,1,1
"Hieracium angustatiforme",1,1,1
"Hieracium angustisquamum",2,1,0.5
"Hieracium anisolepis",1,1,1
"Hieracium anisolobum",1,1,1
"Hieracium anisotomum",1,1,1
"Hieracium anthracostylum",1,1,1
"Hieracium apheles",1,1,1
"Hieracium aphyllum",2,1,0.5
"Hieracium apiculatum",4,1,0.25
"Hieracium apicum",1,1,1
"Hieracium appendiculatum",1,1,1
"Hieracium aquiliceps",1,1,1
"Hieracium araeocladum",1,1,1
"Hieracium arcuaticuneatum",1,1,1
"Hieracium argentarium",1,1,1
"Hieracium argentatum",1,1,1
"Hieracium argentimontanum",1,1,1
"Hieracium arnoldii",1,1,1
"Hieracium arrogans",1,1,1
"Hieracium asemum",1,1,1
"Hieracium askii",1,1,1
"Hieracium asperulum",2,1,0.5
"Hieracium asteridiophyllum",1,1,1
"Hieracium asteroloma",1,1,1
"Hieracium aterrimum",2,1,0.5
"Hieracium atratum",6,1,0.166666666666667
"Hieracium atrocaeruleum",1,1,1
"Hieracium austriniforme",1,1,1
"Hieracium austrotatricum",1,1,1
"Hieracium badiicolor",1,1,1
"Hieracium bakerianum",1,1,1
"Hieracium balbisianum",6,1,0.166666666666667
"Hieracium baroniae",1,1,1
"Hieracium basilimbatum",1,1,1
"Hieracium basiserratum",1,1,1
"Hieracium belogradcense",1,1,1
"Hieracium bembicophorum",1,1,1
"Hieracium benzianum",4,1,0.25
"Hieracium bergstroemii",1,1,1
"Hieracium bicurvum",1,1,1
"Hieracium bogense",1,1,1
"Hieracium boswellii",1,1,1
"Hieracium bourgaei",1,1,1
"Hieracium brachycodon",1,1,1
"Hieracium brachythysanum",1,1,1
"Hieracium breconense",1,1,1
"Hieracium breconicola",1,1,1
"Hieracium britanniciforme",1,1,1
"Hieracium britannicoides",1,1,1
"Hieracium bupleuroides",7,2,0.285714285714286
"Hieracium burnatii",2,1,0.5
"Hieracium cacuminatum",1,1,1
"Hieracium cacuminum",1,1,1
"Hieracium caesionigrescens",3,1,0.333333333333333
"Hieracium caesiopilosum",1,1,1
"Hieracium calliglaucum",2,1,0.5
"Hieracium calocymum",3,1,0.333333333333333
"Hieracium cambricogothicum",1,1,1
"Hieracium cambricum",1,1,1
"Hieracium camurum",1,1,1
"Hieracium candelabrae",1,1,1
"Hieracium canescens",3,2,0.666666666666667
"Hieracium canipediforme",1,1,1
"Hieracium canovittatum",1,1,1
"Hieracium cantianum",1,1,1
"Hieracium carcarophyllum",1,1,1
"Hieracium carnosiceps",1,1,1
"Hieracium causiatum",1,1,1
"Hieracium centonale",1,1,1
"Hieracium centrotum",1,1,1
"Hieracium cerinthiforme",1,1,1
"Hieracium chaboissaei",1,1,1
"Hieracium chaixianum",1,1,1
"Hieracium charitodon",1,1,1
"Hieracium chloeropis",1,1,1
"Hieracium chloocranum",1,1,1
"Hieracium chrysophorum",1,1,1
"Hieracium chrysostyloides",1,1,1
"Hieracium ciliatiforme",1,1,1
"Hieracium cillense",1,1,1
"Hieracium cinereotectum",1,1,1
"Hieracium cirritum",4,1,0.25
"Hieracium cirrobractum",1,1,1
"Hieracium clivicola",2,1,0.5
"Hieracium comanticeps",1,1,1
"Hieracium comitans",1,1,1
"Hieracium compitale",1,1,1
"Hieracium complexum",1,1,1
"Hieracium compositum",2,1,0.5
"Hieracium concinnatum",1,1,1
"Hieracium coniceps",1,1,1
"Hieracium conspectum",1,1,1
"Hieracium continuum",1,1,1
"Hieracium corconticum",2,1,0.5
"Hieracium cordatum",2,1,0.5
"Hieracium corniculans",2,1,0.5
"Hieracium cottetii",5,1,0.2
"Hieracium crassiceps",1,1,1
"Hieracium crenosum",2,1,0.5
"Hieracium crispatulum",1,1,1
"Hieracium ctenophyllum",1,1,1
"Hieracium cuneifrons",1,1,1
"Hieracium cuprimontanum",1,1,1
"Hieracium cyathis",1,1,1
"Hieracium cyclum",1,1,1
"Hieracium daedalolepium",1,1,1
"Hieracium dalecarlicum",1,1,1
"Hieracium daniciforme",1,1,1
"Hieracium dasytomum",1,1,1
"Hieracium decorans",1,1,1
"Hieracium delime",1,1,1
"Hieracium densipellitum",1,1,1
"Hieracium dentatum",8,1,0.125
"Hieracium dermophyllum",3,1,0.333333333333333
"Hieracium diphyllum",1,1,1
"Hieracium distrudens",1,1,1
"Hieracium dolichophyllum",1,1,1
"Hieracium dolichorhachis",1,1,1
"Hieracium dollineri",6,1,0.166666666666667
"Hieracium dowardense",1,1,1
"Hieracium duderhultense",1,1,1
"Hieracium durum",1,1,1
"Hieracium dyringii",1,1,1
"Hieracium ebenarium",1,1,1
"Hieracium elevatum",1,1,1
"Hieracium elvdalense",1,1,1
"Hieracium emblae",1,1,1
"Hieracium eminentiforme",1,1,1
"Hieracium epicrocifolium",1,1,1
"Hieracium erioneurum",1,1,1
"Hieracium erithallum",1,1,1
"Hieracium ethologum",1,1,1
"Hieracium eudaedalium",1,1,1
"Hieracium eumeces",1,1,1
"Hieracium eurygonium",1,1,1
"Hieracium eustomon",1,1,1
"Hieracium evae",1,1,1
"Hieracium exsulans",1,1,1
"Hieracium externum",1,1,1
"Hieracium falcifolium",1,1,1
"Hieracium favratii",2,1,0.5
"Hieracium filisquamum",1,1,1
"Hieracium fissuricola",1,1,1
"Hieracium flagriferum",1,1,1
"Hieracium fodinarium",1,1,1
"Hieracium franconicum",2,1,0.5
"Hieracium fritzei",4,1,0.25
"Hieracium froederstroemii",1,1,1
"Hieracium froelichianum",4,1,0.25
"Hieracium funerale",1,1,1
"Hieracium gavellei",1,1,1
"Hieracium gerontocephalum",1,1,1
"Hieracium gigantocybe",1,1,1
"Hieracium gilvocaniceps",1,1,1
"Hieracium glandulosodentatum",2,1,0.5
"Hieracium glaucinum",10,2,0.2
"Hieracium glevense",1,1,1
"Hieracium gombense",2,1,0.5
"Hieracium gracilipes",1,1,1
"Hieracium grandidentiforme",1,1,1
"Hieracium grandifoliatum",1,1,1
"Hieracium griffitii",1,1,1
"Hieracium gripharium",1,1,1
"Hieracium grophosiceps",1,1,1
"Hieracium guttatifrons",1,1,1
"Hieracium haboense",1,1,1
