"species","no_countries","no_countries_threatened","percentage_threatened","redlistCategory"
"Centaurea pulvinata",1,1,1,"Vulnerable"
"Centaurea rechingeri",1,1,1,NA
"Centaurea reichenbachii",3,1,0.333333333333333,NA
"Centaurea rhaetica",2,1,0.5,NA
"Centaurea rumelica",3,1,0.333333333333333,NA
"Centaurea rupestris",2,1,0.5,NA
"Centaurea saccensis",1,1,1,NA
"Centaurea sagredoi",1,1,1,NA
"Centaurea saxifraga",1,1,1,NA
"Centaurea scannensis",1,1,1,NA
"Centaurea scillae",1,1,1,NA
"Centaurea soskae",3,1,0.333333333333333,NA
"Centaurea tauromenitana",1,1,1,NA
"Centaurea tommasinii",1,1,1,NA
"Centaurea triumfettii",6,3,0.5,NA
"Centaurea ultreiae",1,1,1,NA
"Centaurea variegata",3,1,0.333333333333333,NA
"Centaurea varnensis",9,1,0.111111111111111,NA
"Centaurea vlachorum",2,1,0.5,NA
"Centaurea zuccariniana",2,1,0.5,NA
"Centaurium chloodes",3,2,0.666666666666667,NA
"Centaurium quadrifolium",2,1,0.5,NA
"Centaurium somedanum",1,1,1,"Vulnerable"
"Centranthus amazonum",1,1,1,"Critically Endangered"
"Centranthus sieberi",1,1,1,NA
"Centranthus trinervis",1,1,1,"Endangered"
"Cephalanthera cucullata",1,1,1,"Vulnerable"
"Cephalaria flava",4,1,0.25,NA
"Cephalaria pastricensis",2,2,1,NA
"Cephalaria squamiflora",2,1,0.5,NA
"Cerastium alsinifolium",1,1,1,"Data Deficient"
"Cerastium carinthiacum",4,1,0.25,NA
"Cerastium dinaricum",2,1,0.5,"Vulnerable"
"Cerastium grandiflorum",2,1,0.5,NA
"Cerastium illyricum",2,1,0.5,NA
"Cerastium latifolium",8,2,0.25,NA
"Cerastium moesiacum",3,1,0.333333333333333,NA
"Cerastium neoscardicum",1,1,1,NA
"Cerastium pospichalii",1,1,1,NA
"Cerastium runemarkii",1,1,1,NA
"Cerastium smolikanum",2,1,0.5,NA
"Cerastium sventenii",1,1,1,"Endangered"
"Cerastium uniflorum",8,2,0.25,NA
"Ceratocapnos claviculata",10,2,0.2,NA
"Chaenorhinum serpyllifolium",2,1,0.5,NA
"Chaerophyllum coloratum",2,2,1,NA
"Chaerophyllum creticum",1,1,1,NA
"Chaerophyllum elegans",4,1,0.25,NA
"Chaerophyllum heldreichii",2,1,0.5,NA
"Chamaecytisus frivaldszkyanus",1,1,1,NA
"Chamaecytisus heuffelii",6,1,0.166666666666667,NA
"Chamaecytisus jankae",4,1,0.25,NA
"Chamaecytisus kovacevii",1,1,1,NA
"Chamaecytisus podolicus",2,1,0.5,NA
"Chamaecytisus ratisbonensis",11,3,0.272727272727273,NA
"Chamaecytisus rochelii",5,1,0.2,NA
"Chamaecytisus tommasinii",3,2,0.666666666666667,NA
"Chamaemespilus alpina",13,3,0.230769230769231,NA
"Cheirolophus arboreus",1,1,1,NA
"Cheirolophus arbutifolius",1,1,1,NA
"Cheirolophus burchardii",1,1,1,NA
"Cheirolophus canariensis",1,1,1,NA
"Cheirolophus crassifolius",1,1,1,"Critically Endangered"
"Cheirolophus dariasii",1,1,1,NA
"Cheirolophus duranii",1,1,1,"Critically Endangered"
"Cheirolophus falcisectus",1,1,1,"Endangered"
"Cheirolophus ghomerythus",1,1,1,"Endangered"
"Cheirolophus intybaceus",2,1,0.5,NA
"Cheirolophus junonianus",1,1,1,"Endangered"
"Cheirolophus metlesicsii",1,1,1,"Critically Endangered"
"Cheirolophus santos-abreui",1,1,1,"Critically Endangered"
"Cheirolophus satarataensis",1,1,1,"Vulnerable"
"Cheirolophus tagananensis",1,1,1,"Vulnerable"
"Cheirolophus uliginosus",2,1,0.5,NA
"Cheirolophus webbianus",1,1,1,NA
"Chenopodium striatiforme",5,1,0.2,NA
"Cherleria baldaccii",3,1,0.333333333333333,NA
"Cherleria capillacea",6,3,0.5,NA
"Cherleria dirphya",1,1,1,NA
"Cherleria handelii",1,1,1,NA
"Cherleria wettsteinii",1,1,1,NA
"Chondrilla chondrilloides",6,4,0.666666666666667,NA
"Chondrilla urumoffii",3,1,0.333333333333333,NA
"Chrysosplenium oppositifolium",16,1,0.0625,NA
"Cicerbita pancicii",4,2,0.5,NA
"Cicer canariense",1,1,1,"Endangered"
"Cirsium acaule",17,2,0.117647058823529,NA
"Cirsium boujarti",4,2,0.5,NA
"Cirsium brachycephalum",5,2,0.4,"Least Concern"
"Cirsium dissectum",7,3,0.428571428571429,NA
"Cirsium erisithales",14,1,0.0714285714285714,NA
"Cirsium furiens",2,1,0.5,NA
"Cirsium rosulatum",1,1,1,NA
"Cirsium stojanovii",1,1,1,NA
"Cirsium tuberosum",9,5,0.555555555555556,NA
"Cirsium tymphaeum",3,1,0.333333333333333,NA
"Cirsium waldsteinii",6,1,0.166666666666667,NA
"Cirsium welwitschii",1,1,1,NA
"Cistus asper",1,1,1,NA
"Cistus chinamadensis",1,1,1,"Endangered"
"Cistus grancanariae",1,1,1,NA
"Cistus osbeckiifolius",1,1,1,NA
"Cistus palmensis",1,1,1,NA
"Cistus sintenisii",2,1,0.5,NA
"Clematis elisabethae-carolae",1,1,1,NA
"Clinopodium albanicum",2,1,0.5,NA
"Clinopodium album",4,1,0.25,NA
"Clinopodium creticum",1,1,1,NA
"Clinopodium frivaldszkyanum",1,1,1,NA
"Clinopodium raimondoi",1,1,1,NA
"Clinopodium rouyanum",1,1,1,NA
"Clinopodium sandalioticum",1,1,1,NA
"Clinopodium taygeteum",1,1,1,NA
"Clypeola eriocarpa",1,1,1,NA
"Cochlearia anglica",8,1,0.125,NA
"Cochlearia bavarica",1,1,1,NA
"Cochlearia polonica",1,1,1,"Endangered"
"Cochlearia pyrenaica",12,8,0.666666666666667,NA
"Cochlearia tatrae",2,1,0.5,"Vulnerable"
"Coincya longirostra",1,1,1,NA
"Colchicum arenarium",5,3,0.6,"Least Concern"
"Colchicum asteranthum",1,1,1,NA
"Colchicum chimonanthum",1,1,1,NA
"Colchicum doerfleri",4,1,0.25,NA
"Colchicum haynaldii",5,1,0.2,NA
"Colchicum hungaricum",3,2,0.666666666666667,NA
"Colchicum macedonicum",2,1,0.5,"Vulnerable"
"Colchicum rausii",1,1,1,NA
"Convolvulus boissieri",3,2,0.666666666666667,NA
"Convolvulus caput-medusae",1,1,1,"Near Threatened"
"Convolvulus fernandesii",1,1,1,"Endangered"
"Convolvulus fruticulosus",1,1,1,NA
"Convolvulus lopezsocasii",1,1,1,"Endangered"
"Convolvulus mairei",1,1,1,NA
"Convolvulus perraudieri",1,1,1,NA
"Convolvulus scoparius",1,1,1,NA
"Convolvulus subauriculatus",1,1,1,NA
"Convolvulus volubilis",1,1,1,NA
"Corispermum gallicum",1,1,1,NA
"Coristospermum lucidum",7,2,0.285714285714286,NA
"Corydalis pumila",14,2,0.142857142857143,NA
"Corydalis thasia",1,1,1,NA
"Cota macrantha",4,1,0.25,NA
"Cotoneaster delphinensis",1,1,1,"Vulnerable"
"Crambe arborea",1,1,1,"Vulnerable"
"Crambe feuilleei",1,1,1,NA
"Crambe laevigata",1,1,1,"Endangered"
"Crambe microcarpa",1,1,1,"Endangered"
"Crambe pritzelii",1,1,1,"Endangered"
"Crambe santosii",1,1,1,"Least Concern"
"Crambe scaberrima",1,1,1,"Vulnerable"
"Crambe scoparia",1,1,1,"Endangered"
"Crambe sventenii",1,1,1,"Critically Endangered"
"Crambe tamadabensis",1,1,1,"Critically Endangered"
"Crambe wildpretii",1,1,1,"Critically Endangered"
"Crepis arcuata",1,1,1,NA
"Crepis athoa",1,1,1,NA
"Crepis baldaccii",2,2,1,NA
"Crepis bertiscea",2,2,1,NA
"Crepis blattarioides",8,2,0.25,NA
"Crepis canariensis",1,1,1,NA
"Crepis froelichiana",3,2,0.666666666666667,NA
"Crepis granatensis",1,1,1,"Endangered"
"Crepis heldreichiana",1,1,1,NA
"Crepis macedonica",2,1,0.5,NA
"Crepis merxmuelleri",1,1,1,NA
"Crepis novoana",1,1,1,NA
"Crepis pantocsekii",2,1,0.5,NA
"Crepis pontana",6,1,0.166666666666667,NA
"Crepis pyrenaica",7,1,0.142857142857143,NA
"Crepis rhaetica",4,1,0.25,NA
"Crepis schachtii",1,1,1,NA
"Crepis sibthorpiana",1,1,1,NA
"Crepis turcica",2,1,0.5,NA
"Crepis viscidula",5,1,0.2,NA
"Crocus banaticus",5,1,0.2,NA
"Crocus biflorus",2,1,0.5,NA
"Crocus cyprius",1,1,1,NA
"Crocus dalmaticus",2,1,0.5,"Least Concern"
"Crocus hadriaticus",2,1,0.5,"Least Concern"
"Crocus hartmannianus",1,1,1,NA
"Crocus heuffelianus",7,2,0.285714285714286,NA
"Crocus ilvensis",1,1,1,"Endangered"
"Crocus kosaninii",1,1,1,NA
"Crocus ligusticus",2,1,0.5,"Near Threatened"
"Crocus longiflorus",1,1,1,"Least Concern"
"Crocus weldenii",3,1,0.333333333333333,NA
"Cryptotaenia thomasii",1,1,1,NA
"Cuscuta atrans",1,1,1,NA
"Cyathoselinum tomentosum",1,1,1,NA
"Cyclamen graecum",2,1,0.5,NA
"Cyclamen purpurascens",13,2,0.153846153846154,"Least Concern"
"Cyclamen repandum",4,1,0.25,NA
"Cynara algarbiensis",2,1,0.5,NA
"Cynara makrisii",1,1,1,NA
"Cynoglossum albanicum",2,1,0.5,NA
"Cynoglossum pustulatum",4,2,0.5,NA
"Cynoglossum reverchonii",1,1,1,NA
"Cynoglossum scardicum",3,1,0.333333333333333,NA
"Cynoglossum sphacioticum",1,1,1,NA
"Cynoglossum umbellatum",4,2,0.5,NA
"Cyperus cyprius",1,1,1,NA
"Cytisus aeolicus",1,1,1,"Endangered"
"Cytisus agnipilus",5,1,0.2,NA
"Cytisus decumbens",7,2,0.285714285714286,NA
"Cytisus emeriflorus",2,1,0.5,"Least Concern"
"Cytisus osyrioides",1,1,1,NA
"Dactylorhiza cordigera",6,2,0.333333333333333,"Least Concern"
"Dactylorhiza kalopissii",2,1,0.5,"Endangered"
"Dactylorhiza × kerneri nothosubsp. kerneri",12,4,0.333333333333333,NA
"Dactylorhiza lapponica",9,3,0.333333333333333,"Least Concern"
"Dactylorhiza sambucina",21,11,0.523809523809524,"Least Concern"
"Dactylorhiza sphagnicola",7,1,0.142857142857143,NA
"Danthoniastrum compactum",2,1,0.5,NA
"Danthoniastrum neumayerianum",1,1,1,NA
"Daphne alpina",5,1,0.2,NA
"Daphne arbuscula",1,1,1,"Data Deficient"
"Daphne blagayana",5,2,0.4,NA
"Daphne malyana",1,1,1,NA
"Daphne rodriguezii",1,1,1,"Endangered"
"Daucus elegans",1,1,1,NA
"Degenia velebitica",1,1,1,NA
"Delphinium arenarium",1,1,1,NA
"Delphinium brevicorne",2,2,1,NA
"Delphinium halteratum",5,2,0.4,NA
"Delphinium montanum",2,2,1,NA
"Delphinium nacladense",3,1,0.333333333333333,NA
"Delphinium tuntasianum",1,1,1,NA
"Dendriopoterium menendezii",1,1,1,"Endangered"
"Descurainia artemisioides",1,1,1,NA
"Descurainia lemsii",1,1,1,NA
"Descurainia tanacetifolia",3,1,0.333333333333333,NA
"Dianthus bessarabicus",2,2,1,NA
"Dianthus borbonicus",1,1,1,NA
"Dianthus broteri",2,1,0.5,NA
"Dianthus busambrae",1,1,1,NA
"Dianthus charidemi",1,1,1,NA
"Dianthus cintranus",1,1,1,NA
"Dianthus collinus",4,1,0.25,NA
"Dianthus dobrogensis",2,1,0.5,NA
"Dianthus ferrugineus",3,1,0.333333333333333,NA
"Dianthus freynii",1,1,1,NA
"Dianthus furcatus",2,1,0.5,NA
"Dianthus gracilis",4,1,0.25,NA
"Dianthus gratianopolitanus",8,7,0.875,NA
"Dianthus haematocalyx",3,1,0.333333333333333,NA
"Dianthus hypanicus",1,1,1,NA
"Dianthus insularis",1,1,1,NA
"Dianthus japigicus",1,1,1,NA
"Dianthus juniperinus",1,1,1,NA
"Dianthus laricifolius",2,1,0.5,NA
"Dianthus nardiformis",2,2,1,NA
"Dianthus nitidus",3,2,0.666666666666667,"Near Threatened"
"Dianthus petraeus",4,1,0.25,NA
"Dianthus pontederae",6,2,0.333333333333333,NA
"Dianthus praecox",2,1,0.5,NA
"Dianthus seguieri",6,3,0.5,NA
"Dianthus serotinus",5,3,0.6,"Data Deficient"
"Dianthus siculus",1,1,1,NA
"Dianthus simulans",2,1,0.5,NA
"Dianthus stribrnyi",3,1,0.333333333333333,NA
"Dianthus sylvestris",6,1,0.166666666666667,NA
"Dianthus viridescens",2,1,0.5,NA
"Dianthus xylorrhizus",1,1,1,NA
"Dichoropetalum kyriakae",1,1,1,NA
"Dichoropetalum schottii",6,1,0.166666666666667,NA
"Digitalis chalcantha",1,1,1,NA
"Digitalis isabelliana",1,1,1,NA
"Digitalis laevigata",4,1,0.25,NA
"Digitalis mariana",2,1,0.5,NA
"Dioscorea balcanica",2,2,1,"Near Threatened"
"Dioscorea chouardii",1,1,1,NA
"Diplotaxis siettiana",1,1,1,"Critically Endangered"
"Doronicum carpetanum",2,1,0.5,NA
"Doronicum grandiflorum",7,1,0.142857142857143,NA
"Doronicum hungaricum",7,2,0.285714285714286,NA
"Draba aizoides",14,4,0.285714285714286,NA
"Draba aspera",5,1,0.2,NA
"Draba cacuminum",2,2,1,"Data Deficient"
"Draba dolomitica",2,1,0.5,NA
"Draba dorneri",1,1,1,NA
"Draba dubia",9,1,0.111111111111111,NA
"Draba haynaldii",1,1,1,NA
"Draba korabensis",3,2,0.666666666666667,NA
"Draba laconica",1,1,1,NA
"Draba ladina",2,1,0.5,NA
"Draba lasiocarpa",7,1,0.142857142857143,NA
"Draba pacheri",2,2,1,NA
"Draba parnassica",2,1,0.5,NA
"Draba simonkaiana",1,1,1,NA
"Draba strasseri",1,1,1,NA
"Draba tomentosa",9,1,0.111111111111111,NA
"Dracaena tamaranae",1,1,1,"Critically Endangered"
"Drymocallis halacsyana",1,1,1,NA
"Dryopteris ardechensis",3,1,0.333333333333333,"Vulnerable"
"Dryopteris cambrensis",14,1,0.0714285714285714,NA
"Dryopteris guanchica",2,2,1,"Least Concern"
"Dryopteris tyrrhena",3,3,1,"Near Threatened"
"Dryopteris villarii",12,1,0.0833333333333333,NA
"Drypis spinosa",4,1,0.25,NA
"Echinospartum horridum",2,1,0.5,NA
"Echinospartum ibericum",2,1,0.5,"Least Concern"
"Echium acanthocarpum",1,1,1,"Critically Endangered"
"Echium auberianum",1,1,1,NA
"Echium bethencourtii",1,1,1,NA
"Echium callithyrsum",1,1,1,"Vulnerable"
"Echium gentianoides",1,1,1,"Vulnerable"
"Echium handiense",1,1,1,"Critically Endangered"
"Echium hierrense",1,1,1,NA
"Echium montenielluense",1,1,1,NA
"Echium sventenii",1,1,1,NA
"Edraianthus dalmaticus",1,1,1,NA
"Edraianthus niveus",1,1,1,NA
"Edraianthus serbicus",2,1,0.5,NA
"Edraianthus sutjeskae",1,1,1,NA
"Edraianthus wettsteinii",2,1,0.5,NA
"Elatine gussonei",1,1,1,"Least Concern"
"Elatine hexandra",19,10,0.526315789473684,NA
"Eleocharis carniolica",10,7,0.7,"Least Concern"
"Eokochia saxicola",1,1,1,NA
"Epilobium duriaei",3,1,0.333333333333333,NA
"Epilobium fleischeri",5,2,0.4,NA
"Epilobium nutans",10,2,0.2,NA
"Epimedium alpinum",9,2,0.222222222222222,NA
"Epipactis albensis",7,5,0.714285714285714,"Least Concern"
"Epipactis bugacensis",7,2,0.285714285714286,NA
"Epipactis cupaniana",1,1,1,"Endangered"
"Epipactis dunensis",2,1,0.5,"Data Deficient"
"Epipactis exilis",5,2,0.4,NA
"Epipactis fageticola",4,2,0.5,NA
"Epipactis greuteri",8,2,0.25,"Endangered"
"Epipactis hyblaea",1,1,1,"Critically Endangered"
"Epipactis ioessa",1,1,1,"Endangered"
"Epipactis meridionalis",1,1,1,NA
"Epipactis nordeniorum",5,2,0.4,"Vulnerable"
"Epipactis phyllanthes",9,5,0.555555555555556,"Least Concern"
"Epipactis placentina",5,4,0.8,"Endangered"
"Epipactis purpurata",17,6,0.352941176470588,"Least Concern"
"Epipactis tallosii",6,2,0.333333333333333,"Endangered"
"Equisetum × robertsii",2,1,0.5,NA
"Eremogone cephalotes",1,1,1,NA
"Erica mackayana",3,2,0.666666666666667,NA
"Erigeron angulosus",10,2,0.2,NA
"Erigeron frigidus",1,1,1,"Endangered"
"Erigeron glabratus",11,2,0.181818181818182,NA
"Erodium astragaloides",1,1,1,"Critically Endangered"
"Erodium boissieri",1,1,1,NA
"Erodium daucoides",1,1,1,NA
"Erodium guicciardii",4,1,0.25,NA
"Erodium macrocalyx",1,1,1,NA
"Erodium manescavi",3,1,0.333333333333333,NA
"Erodium paularense",1,1,1,"Endangered"
"Erodium recoderi",1,1,1,NA
"Erodium rodiei",1,1,1,NA
"Erodium rupestre",2,1,0.5,NA
"Erodium rupicola",1,1,1,"Vulnerable"
"Erucastrum palustre",1,1,1,"Critically Endangered"
"Eryngium alpinum",5,4,0.8,"Near Threatened"
"Eryngium galioides",2,1,0.5,"Endangered"
"Eryngium grossii",1,1,1,NA
"Eryngium huteri",1,1,1,NA
"Eryngium viviparum",3,3,1,"Endangered"
"Erysimum cazorlense",1,1,1,NA
"Erysimum humile",2,1,0.5,NA
"Erysimum hungaricum",5,1,0.2,NA
"Erysimum krendlii",1,1,1,NA
"Erysimum krynkense",1,1,1,NA
"Erysimum kykkoticum",1,1,1,NA
"Erysimum lagascae",2,1,0.5,NA
"Erysimum ligusticum",1,1,1,NA
"Erysimum maremmanum",1,1,1,NA
"Erysimum myriophyllum",1,1,1,NA
"Erysimum nevadense",2,2,1,NA
"Erysimum pallidiflorum",5,1,0.2,NA
"Erysimum rhaeticum",5,1,0.2,NA
"Erysimum scoparium",1,1,1,NA
"Erysimum slavjankae",1,1,1,NA
"Erysimum sylvestre",3,1,0.333333333333333,NA
"Erysimum talijevii",1,1,1,NA
"Erysimum witmannii",5,1,0.2,NA
"Euphorbia angulata",15,2,0.133333333333333,NA
"Euphorbia bourgeana",1,1,1,"Vulnerable"
"Euphorbia bravoana",1,1,1,NA
"Euphorbia carniolica",9,1,0.111111111111111,NA
"Euphorbia carpatica",2,1,0.5,NA
"Euphorbia flavicoma",4,2,0.5,NA
"Euphorbia fontqueriana",1,1,1,NA
"Euphorbia fragifera",6,1,0.166666666666667,NA
"Euphorbia gayi",3,1,0.333333333333333,NA
"Euphorbia glabriflora",3,1,0.333333333333333,NA
"Euphorbia handiensis",1,1,1,"Vulnerable"
"Euphorbia heldreichii",2,1,0.5,NA
"Euphorbia hyberna",5,1,0.2,NA
"Euphorbia lemesiana",1,1,1,NA
"Euphorbia margalidiana",1,1,1,"Vulnerable"
"Euphorbia montenegrina",1,1,1,NA
"Euphorbia papillaris",1,1,1,NA
"Euphorbia pedroi",1,1,1,"Vulnerable"
"Euphorbia subhastata",1,1,1,NA
"Euphorbia uliginosa",2,1,0.5,NA
"Euphorbia valdevillosocarpa",2,1,0.5,NA
"Euphorbia variabilis",5,1,0.2,NA
"Euphorbia verrucosa",12,3,0.25,NA
"Euphrasia cambrica",1,1,1,NA
"Euphrasia cisalpina",2,1,0.5,NA
"Euphrasia corcontica",2,2,1,NA
"Euphrasia dinarica",2,1,0.5,NA
"Euphrasia dunensis",1,1,1,NA
"Euphrasia exaristata",2,1,0.5,NA
"Euphrasia illyrica",3,1,0.333333333333333,NA
"Euphrasia inopinata",1,1,1,NA
"Euphrasia liburnica",7,1,0.142857142857143,NA
"Euphrasia marchesettii",1,1,1,"Vulnerable"
"Euphrasia minima",15,1,0.0666666666666667,NA
"Euphrasia picta",11,1,0.0909090909090909,NA
"Euphrasia pseudokerneri",2,1,0.5,NA
"Euphrasia rivularis",1,1,1,NA
"Euphrasia sinuata",1,1,1,NA
"Euphrasia slovaca",4,1,0.25,NA
"Euphrasia stipitata",1,1,1,NA
"Euphrasia vigursii",1,1,1,NA
"Facchinia cherlerioides",4,1,0.25,NA
"Femeniasia balearica",1,1,1,NA
"Ferula arrigonii",2,1,0.5,NA
"Ferulago sartorii",1,1,1,NA
"Ferulago ternatifolia",1,1,1,NA
"Ferula heuffelii",3,1,0.333333333333333,NA
"Ferula lancerotensis",1,1,1,NA
"Ferula latipinna",1,1,1,"Vulnerable"
"Ferula loscosii",1,1,1,NA
"Ferula sadleriana",3,2,0.666666666666667,"Endangered"
"Festuca albensis",2,2,1,NA
"Festuca alpestris",3,1,0.333333333333333,NA
"Festuca bosniaca",4,1,0.25,NA
"Festuca brigantina",2,1,0.5,"Vulnerable"
"Festuca clementei",1,1,1,NA
"Festuca csikhegyensis",5,1,0.2,NA
"Festuca dalmatica",5,1,0.2,NA
"Festuca duvalii",5,1,0.2,NA
"Festuca eggleri",1,1,1,NA
"Festuca frigida",1,1,1,NA
"Festuca halleri",5,1,0.2,NA
"Festuca henriquesii",1,1,1,"Least Concern"
"Festuca heteropachys",4,2,0.5,NA
"Festuca javorkae",3,1,0.333333333333333,NA
"Festuca lemanii",5,1,0.2,NA
"Festuca longifolia",4,1,0.25,NA
"Festuca pallens",12,3,0.25,NA
"Festuca patzkei",2,1,0.5,NA
"Festuca porcii",2,1,0.5,NA
"Festuca prudhommei",1,1,1,NA
"Festuca psammophila",6,2,0.333333333333333,NA
"Festuca quadriflora",7,1,0.142857142857143,NA
"Festuca saxatilis",3,1,0.333333333333333,NA
"Festuca stenantha",5,1,0.2,NA
"Festuca thracica",2,1,0.5,NA
"Festuca ticinensis",2,1,0.5,NA
"Festuca trichophylla",13,1,0.0769230769230769,NA
"Festuca vaginata",8,4,0.5,NA
"Festuca versicolor",5,1,0.2,NA
"Festuca violacea",5,1,0.2,NA
"Festucopsis serpentini",1,1,1,"Least Concern"
"Filago carpetana",3,1,0.333333333333333,NA
"Filago petro-ianii",1,1,1,NA
"Forsythia europaea",2,1,0.5,"Least Concern"
"Fourraea alpina",9,2,0.222222222222222,NA
"Fritillaria conica",1,1,1,"Endangered"
"Fritillaria drenovskii",2,1,0.5,"Vulnerable"
"Fritillaria ehrhartii",1,1,1,"Least Concern"
"Fritillaria epirotica",1,1,1,"Endangered"
"Fritillaria euboeica",1,1,1,"Vulnerable"
"Fritillaria graeca",3,1,0.333333333333333,"Data Deficient"
"Fritillaria legionensis",1,1,1,NA
"Fritillaria macedonica",2,1,0.5,NA
"Fritillaria messanensis",4,3,0.75,"Least Concern"
"Fritillaria moggridgei",2,1,0.5,NA
"Fritillaria montana",8,2,0.25,"Data Deficient"
"Fritillaria rhodocanakis",1,1,1,"Least Concern"
"Fritillaria × spetsiotica",1,1,1,NA
"Fumana bonapartei",3,1,0.333333333333333,NA
"Fumana lacidulemiensis",1,1,1,NA
"Fumaria purpurea",3,1,0.333333333333333,NA
"Gagea apulica",2,2,1,"Vulnerable"
"Gagea chrysantha",1,1,1,"Vulnerable"
"Gagea × luberonensis",4,1,0.25,NA
"Gagea × polidorii",3,1,0.333333333333333,NA
"Gagea × pomeranica",2,1,0.5,NA
"Galatella albanica",2,1,0.5,NA
"Galatella aragonensis",2,1,0.5,NA
"Galatella cana",5,2,0.4,NA
"Galega cirujanoi",2,1,0.5,NA
"Galeopsis segetum",15,4,0.266666666666667,"Data Deficient"
"Galium aegeum",2,1,0.5,NA
"Galium arenarium",2,1,0.5,NA
"Galium aristatum",5,1,0.2,NA
"Galium austriacum",5,1,0.2,NA
"Galium belizianum",2,1,0.5,NA
"Galium boissierianum",1,1,1,NA
"Galium cracoviense",1,1,1,"Vulnerable"
"Galium firmum",2,1,0.5,NA
"Galium glaucum",16,4,0.25,NA
"Galium intricatum",3,1,0.333333333333333,NA
"Galium moldavicum",2,1,0.5,NA
"Galium procurrens",3,1,0.333333333333333,NA
"Galium pulvinatum",1,1,1,NA
"Galium rhodopeum",3,2,0.666666666666667,"Data Deficient"
"Galium rosellum",1,1,1,NA
"Galium sudeticum",3,2,0.666666666666667,"Vulnerable"
"Galium suecicum",3,1,0.333333333333333,NA
"Galium valdepilosum",6,3,0.5,NA
"Galium velenovskyi",1,1,1,NA
"Galium viridiflorum",1,1,1,"Endangered"
"Gaudinia hispanica",1,1,1,NA
"Genista anglica",10,4,0.4,NA
"Genista balearica",1,1,1,NA
"Genista berberidea",2,1,0.5,"Near Threatened"
"Genista bocchierii",1,1,1,"Critically Endangered"
"Genista cilentina",1,1,1,"Endangered"
"Genista demarcoi",1,1,1,NA
"Genista dorycnifolia",1,1,1,"Vulnerable"
"Genista haensleri",1,1,1,NA
"Genista hassertiana",3,1,0.333333333333333,NA
"Genista holopetala",2,1,0.5,"Data Deficient"
"Genista pilosa",19,4,0.210526315789474,NA
"Genista pulchella",2,1,0.5,NA
"Genista radiata",7,2,0.285714285714286,"Least Concern"
"Genista sardoa",1,1,1,"Endangered"
"Genista splendens",1,1,1,NA
"Genista toluensis",1,1,1,NA
"Genista tribracteolata",1,1,1,NA
"Gentiana acaulis",12,4,0.333333333333333,"Least Concern"
"Gentiana boryi",1,1,1,NA
"Gentiana dinarica",3,1,0.333333333333333,NA
"Gentiana frigida",6,1,0.166666666666667,NA
"Gentiana pannonica",6,2,0.333333333333333,"Near Threatened"
"Gentiana purpurea",7,1,0.142857142857143,"Least Concern"
"Gentiana utriculosa",10,3,0.3,NA
"Gentianella anisodonta",4,1,0.25,NA
"Gentianella austriaca",10,4,0.4,NA
"Gentianella bohemica",4,1,0.25,"Vulnerable"
"Gentianella bulgarica",5,1,0.2,NA
"Gentianella crispata",5,3,0.6,NA
"Gentianella germanica",12,5,0.416666666666667,NA
"Gentianella insubrica",2,1,0.5,NA
"Gentianella lutescens",10,3,0.3,NA
"Gentianella pilosa",3,1,0.333333333333333,NA
"Gentianella ramosa",3,1,0.333333333333333,NA
"Geranium aristatum",4,1,0.25,NA
"Geranium cataractarum",1,1,1,NA
"Geranium cazorlense",1,1,1,NA
"Geranium dalmaticum",2,1,0.5,NA
"Geranium dolomiticum",1,1,1,NA
"Geranium endressii",4,1,0.25,NA
"Geranium reflexum",7,1,0.142857142857143,NA
"Geranium thessalum",2,1,0.5,NA
"Gesnouinia arborea",1,1,1,"Endangered"
"Geum hispidum",5,1,0.2,NA
"Geum montanum",14,1,0.0714285714285714,NA
"Geum reptans",13,1,0.0769230769230769,NA
"Geum waldsteiniae",7,1,0.142857142857143,NA
"Glandora gastonii",2,1,0.5,NA
"Glandora nitida",1,1,1,NA
"Glandora oleifolia",2,1,0.5,NA
"Globularia ascanii",1,1,1,"Critically Endangered"
"Globularia sarcophylla",1,1,1,"Vulnerable"
"Goniolimon besserianum",3,1,0.333333333333333,NA
"Goniolimon dalmaticum",2,1,0.5,NA
"Goniolimon graminifolium",1,1,1,NA
"Gonospermum ferulaceum",1,1,1,NA
"Gonospermum gomerae",1,1,1,NA
"Gonospermum oshanahanii",1,1,1,NA
"Gonospermum ptarmiciflorum",1,1,1,NA
"Gonospermum revolutum",1,1,1,NA
"Graecobolanthus creutzburgii",1,1,1,NA
"Grafia golaka",3,1,0.333333333333333,NA
"Gymnadenia archiducis-joannis",1,1,1,"Endangered"
"Gymnadenia austriaca",7,1,0.142857142857143,NA
"Gymnadenia carpatica",2,1,0.5,NA
"Gymnadenia frivaldii",5,1,0.2,"Least Concern"
"Gymnadenia miniata",6,1,0.166666666666667,NA
"Gymnadenia nigra",12,2,0.166666666666667,NA
"Gymnadenia rhellicani",9,1,0.111111111111111,"Least Concern"
"Gymnadenia stiriaca",1,1,1,"Endangered"
"Gymnadenia widderi",3,1,0.333333333333333,"Endangered"
"Gymnospermium odessanum",2,1,0.5,NA
"Gymnospermium scipetarum",3,1,0.333333333333333,NA
"Gypsophila papillosa",1,1,1,"Endangered"
"Gyrocaryum oppositifolium",1,1,1,"Critically Endangered"
"Haberlea rhodopensis",2,1,0.5,"Least Concern"
